ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11554263,JC101788,12/29/2018 22:00,019XX W NORTH AVE,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1424,14,2,24,6,1163279,1910668,2018,1/10/2019 15:16,41.9105151,-87.67560732,"(41.910515099, -87.675607323)",24,"21,560",25,482,11,4,7,200
11719318,JC301360,12/29/2018 21:30,022XX S MICHIGAN AVE,820,THEFT,$500 AND UNDER,BAR OR TAVERN,FALSE,FALSE,131,1,3,33,6,,,2018,6/12/2019 16:13,,,,,,,,,,,
11550510,JB571853,12/29/2018 20:04,047XX N LINCOLN AVE,860,THEFT,RETAIL THEFT,RESTAURANT,FALSE,FALSE,1911,19,47,4,6,1159715,1931564,2018,1/10/2019 15:16,41.96792929,-87.68812235,"(41.967929293, -87.688122352)",13,"21,849",6,665,18,20,5,10
11551439,JB572374,12/29/2018 19:35,008XX S STATE ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,123,1,4,32,6,1176486,1896541,2018,1/10/2019 15:16,41.87146172,-87.62751709,"(41.871461723, -87.627517093)",48,"14,913",38,12,10,35,22,144
11550763,JB572108,12/29/2018 19:00,021XX W DIVISION ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1424,14,2,24,6,1162019,1907970,2018,1/10/2019 15:16,41.90313801,-87.68031154,"(41.903138006, -87.68031154)",16,"21,560",25,517,11,4,7,200
11550509,JB571858,12/29/2018 18:30,001XX S WABASH AVE,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,112,1,42,32,6,1176830,1899771,2018,1/10/2019 15:16,41.88031726,-87.62615645,"(41.880317263, -87.626156445)",22,"14,311",38,367,36,34,22,93
11550430,JB571750,12/29/2018 18:15,001XX W RANDOLPH ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,122,1,42,32,6,1174926,1901269,2018,1/10/2019 15:16,41.8844707,-87.63310278,"(41.884470703, -87.633102775)",22,"14,310",38,92,36,41,22,79
11550288,JB571601,12/29/2018 15:30,043XX N BROADWAY,820,THEFT,$500 AND UNDER,CONVENIENCE STORE,FALSE,FALSE,1915,19,46,3,6,1168915,1928944,2018,1/10/2019 15:16,41.96054483,-87.65437116,"(41.960544829, -87.654371155)",37,"21,186",31,577,39,53,5,5
11550294,JB571530,12/29/2018 15:10,060XX N CICERO AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1621,16,39,12,6,1143285,1939645,2018,1/10/2019 15:16,41.99042779,-87.74833179,"(41.990427791, -87.748331787)",28,"22,532",12,782,38,18,12,38
11555676,JC102603,12/29/2018 15:05,043XX N BROADWAY,890,THEFT,FROM BUILDING,GROCERY FOOD STORE,FALSE,FALSE,1915,19,46,3,6,1168773,1929247,2018,1/10/2019 15:16,41.96137936,-87.65488439,"(41.961379358, -87.654884394)",37,"21,186",31,577,39,53,5,5
