id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,keys,latitude,longitude,name,postalCode,province,sourceURLs,websites
AV1TsC10FcQ3k02bFiOq,2017-07-18T03:14:01Z,2019-04-30T09:37:49Z,2900 W 63rd St,"Restaurant,Food Service,Delicatessens,Fast Food Restaurant,Restaurants",Accommodation & Food Services,Chicago,US,us/il/chicago/2900w63rdst/1114314749,41.779455,-87.696188,Mr Submarine,60629,IL,"https://www.allmenus.com/il/chicago/223531-m-r-submarine/menu/,http://www.yellowbook.com/profile/mr-submarine_1897757659.html,https://foursquare.com/v/mr-submarine/4f43901f19834bc91f578cd6",https://mr-submarine.mycloveronline.com
AVwcw8Pb_7pvs4fzyt6A,2015-11-02T15:19:48Z,2019-04-26T12:39:17Z,7 E 111th St,"Hamburgers & Hot Dogs,Burger Joint,Restaurant,Fast Food Restaurant,Burgers,Fast Food,Fast Food Restaurants,Fast Food Restaurant and Burger Joint,Fast Food Restaurant and Burger Joint Roseland,Salad,Restaurants",Accommodation & Food Services,Chicago,US,us/il/chicago/7e111thst/-791445730,41.692349,-87.622562,Wendys,60628,IL,"http://www.yellowpages.com/chicago-il/mip/wendys-458646626,https://www.allmenus.com/il/chicago/180964-wendys/menu/,https://foursquare.com/v/wendys/4b874515f964a52080b931e3/menu,https://www.trip.com/chicago/restaurants/wendys_5,https://foursquare.com/v/wendys/4b874515f964a52080b931e3","http://www.wendys.com,https://locations.wendys.com/united-states/il/chicago/7-e-111th-st,http://www.wendys.com/"
AVwdiKImIN2L1WUfwwEP,2015-10-20T05:18:43Z,2019-04-20T09:43:20Z,3548 N Cicero Ave,"Restaurant,Fast Food Restaurant Portage Park,Fast Food Restaurant",Accommodation & Food Services,Chicago,US,us/il/chicago/3548nciceroave/-1161002137,41.945836,-87.747406,McDonalds,60641,IL,"https://www.allmenus.com/il/chicago/212255-mcdonalds/menu/,https://foursquare.com/v/mcdonalds/4bcfcb6aa8b3a59324fe625f/menu",http://mcdonalds.com
AWoyVMZjZ4Yw-wtdWRj6,2019-04-18T21:04:35Z,2019-04-18T21:04:35Z,8307 S King Drive,"Restaurants,Family Friendly Restaurants,Fast Food,Chicken Restaurants,American Restaurants",Accommodation & Food Services,Chicago,US,us/il/chicago/8307skingdrive/1056997693,41.74357,-87.61455,KFC - Kentucky Fried Chicken,60619,IL,https://www.dexknows.com/business_profiles/kfc___kentucky_fried_chicken-l0013255016,http://www.kfc.com/
AWoyY3nUsVYjT2BJ2xa4,2019-04-18T21:04:15Z,2019-04-18T21:04:28Z,7807 S Cicero Avenue,"American Restaurants,Takeout,Fast Food,Concession Stands,Restaurants",Accommodation & Food Services,Chicago,US,us/il/chicago/7807sciceroavenue/93075755,41.750786,-87.74125,Arby's,60652,IL,"https://www.dexknows.com/business_profiles/arby_s-l1049078125,https://www.dexknows.com/business_profiles/arby_s-l0143041901",https://locations.arbys.com/us/il/chicago/7807-s-cicero-ave.html
AWoyWSuhsVYjT2BJ2tWe,2019-04-18T21:02:58Z,2019-04-18T21:02:58Z,10556 South IndianapolIsland,"Restaurants,Family Friendly Restaurants,Fast Food,Chicken Restaurants,American Restaurants",Accommodation & Food Services,Chicago,US,us/il/chicago/10556southindianapolisland/106088,41.703312,-87.525246,KFC,60617,IL,https://www.dexknows.com/business_profiles/kfc-l0081983141,https://www.kfc.com/store-locator?query=60617
AVwc3MRsIN2L1WUfptXm,2015-10-23T03:24:04Z,2019-04-15T06:18:43Z,1453 E Hyde Park Blvd,"Pizza,Restaurant,Take Out,Pizza Restaurants,Take Out Restaurants,Fast Food Restaurants,Fast Food,Pizza Place,Food & Beverage Delivery Services,Chicken Restaurants,Restaurants",Accommodation & Food Services,Chicago,US,us/il/chicago/1453ehydeparkblvd/-1055723171,41.802217,-87.589721,Dominos Pizza,60615,IL,"https://www.trip.com/chicago/restaurants/dominos-pizza_18,https://www.yellowpages.com/chicago-il/mip/dominos-pizza-1729854,http://www.superpages.com/bp/chicago-il/dominos-pizza-L0096078572.htm,https://foursquare.com/v/dominos-pizza/4c2a970a8ef52d7f842930ba,https://foursquare.com/v/dominos-pizza/4c2a970a8ef52d7f842930ba/menu,https://www.allmenus.com/il/chicago/76603-dominos-pizza/menu/,https://www.trip.com/chicago/restaurants/dominos-pizza_8","https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,http://www.dominos.com/,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps"
AVwdqt1l_7pvs4fz8KAH,2015-09-10T21:50:58Z,2019-04-15T06:03:15Z,4644 W Diversey Ave,"Donut Shop,Restaurant,Coffee Shop,Fast Food",Accommodation & Food Services,Chicago,US,us/il/chicago/4644wdiverseyave/89177860,41.931961,-87.743771,Dunkin Donuts,60639,IL,"https://www.trip.com/chicago/restaurants/dunkin-donuts_88,https://foursquare.com/v/dunkin-donuts/4bb3c728715eef3b01d486bb,https://www.allmenus.com/il/chicago/135073-dunkin-donuts/menu/,https://foursquare.com/v/dunkin-donuts/4bb3c728715eef3b01d486bb/menu","http://www.dunkindonuts.com/,http://www.baskinrobbins.com/,https://www.dunkindonuts.com/"
AVwdYHtvIN2L1WUfvLV2,2015-10-23T04:02:10Z,2019-04-10T09:20:14Z,725 S State St,"Restaurant,Chain Restaurant,Fast Food Restaurant,wich Place,Sandwich Place",Accommodation & Food Services,Chicago,US,us/il/chicago/725sstatest/-1947870258,41.872237,-87.627738,Jimmy Johns,60605,IL,"https://www.allmenus.com/il/chicago/90463-jimmy-johns/menu/,https://foursquare.com/v/jimmy-johns/4af213d6f964a520bce521e3,http://tripadvisor.com/Restaurant_Review-g35805-d4193847-Reviews-Jimmy_John_s-Chicago_Illinois.html",http://www.jimmyjohns.com/
AVwc6CSc_7pvs4fz0O5W,2016-06-08T16:32:08Z,2019-04-10T08:44:34Z,3362 W Lawrence Ave,"Restaurant,Southern / Soul,Chain Restaurant,Fried Chicken Joint,Fast Food Restaurant",Accommodation & Food Services,Chicago,US,us/il/chicago/3362wlawrenceave/-624847056,41.968459,-87.713156,Popeyes Louisiana Kitchen,60625,IL,"http://tripadvisor.com/Restaurant_Review-g35805-d4291548-Reviews-Popeyes_Louisiana_Kitchen-Chicago_Illinois.html,https://foursquare.com/v/popeyes-louisiana-kitchen/4b4b91a6f964a5208ea026e3,https://www.trip.com/chicago/restaurants/popeyes-louisiana-kitchen_7,https://foursquare.com/v/popeyes-louisiana-kitchen/4b4b91a6f964a5208ea026e3/menu",http://popeyes.com/
AVwefIAXByjofQCxyqfM,2017-03-04T00:57:40Z,2019-04-01T11:03:13Z,947 W Fullerton Ave,"Donut Shop,Restaurant,Coffee Shop,Coffee Retail,Coffee & Tea Shops,Donuts,Fast Food",Accommodation & Food Services,Chicago,US,us/il/chicago/947wfullertonave/89177860,41.925248,-87.652941,Dunkin Donuts,60614,IL,"http://www.superpages.com/bp/chicago-il/dunkin-donuts-L2506236987.htm,https://foursquare.com/v/dunkin-donuts/506735a2498ef43ce63f0507,https://www.trip.com/chicago/restaurants/dunkin-donuts_40","http://www.dunkindonuts.com/,https://www.dunkindonuts.com/"
