"uid","store_name","license_id","account_number","square_feet","buffer_size","address","zip_code","community_area_name_x","community_area_x","ward","census_tract","census_block","x_coordinate","y_coordinate","latitude","longitude","location","community_areas","zip_codes","boundaries_zip_codes","census_tracts","wards","computed_region_awaf_s7ux","KEY","community_area_y","community_area_name_y","birth_rate","low_birth_weight","prenatal_care_beginning_in_first_trimester","preterm_births","teen_birth_rate","infant_mortality_rate","below_poverty_level","crowded_housing","dependency","no_high_school_diploma","per_capita_income","unemployment"
249,"KHALIL FOOD & LIQUOR",46846,16717,3000,"B","146 W 103RD ST",60628,"ROSELAND",49,9,17031490700,170314907002019,1176913.31607305,1836691.17171795,41.707218139,-87.6277515583,"(41.707218139, -87.6277515583)",45,21861,19,569,43,30,"roseland",49,"Roseland",14.3,12.2,69,12.8,79.7,9.6,19.5,3.1,40.9,17.4,17974,17.8
250,"ALDI FOODS STORE #90B",13992,5273,15565,"A","2828 N CENTRAL AVE",60634,"BELMONT CRAGIN",19,31,17031190402,170311904022031,1138506.86074731,1918378.10084812,41.9321576791,-87.7664245988,"(41.9321576791, -87.7664245988)",19,22254,52,82,17,7,"belmontcragin",19,"Belmont Cragin",20,6.9,74.1,7.6,68.2,5.6,18.6,10,36.9,37,15246,11.5
251,"SUNRISE FOOD AND LIQUORS",21927,9067,7000,"B","3737 W CHICAGO AVE",60651,"HUMBOLDT PARK",23,27,17031231500,170312315006001,1151180.72529162,1905039.07619938,41.895314759,-87.7201998415,"(41.895314759, -87.7201998415)",24,4299,30,584,46,41,"humboldtpark",23,"Humboldt Park",19.2,12.3,70.9,11.7,77.9,9.8,32.6,11.2,38.3,36.8,13391,12.3
252,"BOULEVARD FOOD & LIQUOR LLC",1931999,336958,3350,"B","5922 W IRVING PARK RD",60634,"PORTAGE PARK",15,38,17031150402,170311504022018,1136053.01432363,1926023.84965082,41.9531825896,-87.7752593753,"(41.9531825896, -87.7752593753)",15,22254,52,26,19,25,"portagepark",15,"Portage Park",14.2,6.9,79.8,8.7,41.7,4.7,12.3,4.4,34.6,18.7,23617,10.6
253,"SAVE-A-LOT  # 858",1272454,216203,12000,"A","2858 E 83RD ST",60617,"SOUTH CHICAGO",46,7,17031460302,170314603024017,1196917.3210596,1850533.97189374,41.7447308395,-87.5540391375,"(41.7447308395, -87.5540391375)",42,21202,25,244,37,43,"southchicago",46,"South Chicago",18.1,13,75.3,15.1,76.8,17.7,28,5.9,43.1,28.2,15393,17.7
254,"ADA FOODS",50473,56673,4500,"B","1281 W 71ST ST",60636,"WEST ENGLEWOOD",67,17,17031671800,170316718001000,1168677.67928807,1857642.99939822,41.7648941814,-87.6573078048,"(41.7648941814, -87.6573078048)",65,22257,23,408,32,17,"westenglewood",67,"West Englewood",20.3,16.1,63.6,13.8,116.9,13.3,32.3,6.9,40.9,30.3,10559,34.7
255,"THE NEIGHBORHOOD STORE",47617,16859,4200,"B","8313 S RACINE AVE",60620,"AUBURN GRESHAM",71,21,17031711000,170317110001007,1169811.7400303,1849596.04357473,41.7427877337,-87.6533842508,"(41.7427877337, -87.6533842508)",70,21554,59,530,13,18,"auburngresham",71,"Auburn Gresham",15.1,11.6,71.8,13.9,83.1,15.6,24.5,4.1,42.1,19.5,16022,24.2
256,"S & K FOOD & LIQUOR, INC.",1544,291,10001,"A","7500 S EXCHANGE AVE",60649,"SOUTH SHORE",43,7,17031431302,170314313022001,1195140.81240187,1855715.29770836,41.7589927618,-87.5603778108,"(41.7589927618, -87.5603778108)",39,22538,24,245,37,43,"southshore",43,"South Shore",15.7,13.8,71.9,13.4,65.9,11.4,31.5,2.9,37.6,14.9,18366,17.7
257,"AM-PM FOOD MART & CELLULAR",1093813,207399,3500,"B","1924 E 87TH ST",60617,"AVALON PARK",45,8,17031450300,170314503003028,1190653.5047071,1847714.11133096,41.7371462539,-87.5770809934,"(41.7371462539, -87.5770809934)",41,21202,25,431,35,9,"avalonpark",45,"Avalon Park",13.3,19.7,74.5,14.6,63.9,11.4,16.7,0.6,41.9,13.3,23495,16.6
258,"MORELIA SUPERMARKET, INC.",1892862,243702,8000,"B","7300 N WESTERN AVE",60645,"WEST RIDGE",2,50,17031020200,170310202002007,1158974.93188864,1948414.86056553,42.0141839829,-87.6903783498,"(42.0141839829, -87.6903783498)",20,22528,12,359,27,42,"westridge",2,"West Ridge",17.3,8.1,71.1,8.3,29.9,5.1,15.1,7,38.3,19.6,21375,7.9
259,"DOMINICKS #2890",2042094,5033,55129,"A","5201 N SHERIDAN RD",60640,"EDGEWATER",77,48,17031030706,170310307061008,1168741.55164196,1934750.44712967,41.9764816676,-87.6548397772,"(41.9764816676, -87.6548397772)",76,22616,15,93,16,40,"edgewater",77,"Edgewater",12.1,7.5,76.1,7.4,15.1,6.9,16.6,3.9,23.4,9,33364,9
260,"WALMART",2164075,303471,,"A","1424 W 47TH ST",60609,"NEW CITY",61,3,17031842600,170318000000000,1167548.598,1167550.933,41.80876829,-87.66098821,"(41.80876829, -87.66098821)",59,14924,37,123,3,12,"newcity",61,"New City",21.4,11.8,75.9,12.2,94.3,7.9,30.6,12.2,42,42.4,12524,17.4
261,"ALDI'S #93",1743165,5273,16890,"A","7545 S WESTERN AVE",60620,"ASHBURN",70,18,17031700100,170317001002053,1161731.5742265,1854361.07618049,41.756035091,-87.6828583216,"(41.756035091, -87.6828583216)",69,21554,59,498,30,6,"ashburn",70,"Ashburn",14.7,9,82.4,11.3,38.3,10.2,9.5,4.2,36.7,18.3,22078,8.8
262,"TREASURE ISLAND FOODS",1311,85291,10001,"A","3460 N BROADWAY",60657,"LAKE VIEW",6,44,17031062000,170310620002000,1171266.71787598,1923235.21107269,41.9448282656,-87.6458934884,"(41.9448282656, -87.6458934884)",57,4449,22,730,25,38,"lakeview",6,"Lake View",13.5,6.3,79.1,8.1,15.8,2.2,10.5,1.2,16.5,2.9,58227,4.7
263,"OLIVE MOUNT MART",1337266,205718,3000,"B","3536 W 63RD ST",60629,"CHICAGO LAWN",66,15,17031660400,170316604003014,1153755.80920244,1862648.96170152,41.7789401249,-87.7118685723,"(41.7789401249, -87.7118685723)",64,21867,58,344,6,44,"chicagolawn",66,"Chicago Lawn",20.1,9.4,78.4,10.8,67.4,11.1,22.2,6.5,40,31.6,14405,11.9
264,"JEWEL FOOD STORE #3407",1394,259,19238,"A","5516 N CLARK ST",60640,"EDGEWATER",77,40,17031030900,170310309001000,1164969.7637175,1936801.10665939,41.9821898846,-87.668651628,"(41.9821898846, -87.668651628)",76,22616,15,564,24,46,"edgewater",77,"Edgewater",12.1,7.5,76.1,7.4,15.1,6.9,16.6,3.9,23.4,9,33364,9
