address,categories,city,cuisines,latitude,longitude,name,neighborhoods,postalCode
1550 E 79th St,"Restaurant,Fast Food Restaurant,Restaurants",Chicago,"Fast Food,Hamburgers,Restaurants",41.7515,-87.587,White Castle,"Grand Crossing, Far South Chicago",60619
6901 S Western Ave,"Burger Joint,Restaurant,American,Fast Food Restaurant,Burgers,Fast Food,Restaurants",Chicago,"American,Burgers,Fast Food,Fast Food Restaurants,Hamburgers",41.7681,-87.6826,White Castle,"West Englewood, South Side",60636
3457 S King Dr,"Hamburgers & Hot Dogs,Burger Joint,American Restaurants,Restaurant,Burger Joint and Fast Food Restaurant Lake Meadows,Fast Food Restaurant,Fast Food Restaurants,Restaurants,Burger Joint and Fast Food Restaurant",Chicago,"Fast Food Restaurants,Fast Food,Hamburgers",41.8318,-87.617,White Castle,"South Side, Bronzeville, The Gap",60616
3901 W Madison St,"Fast Food Restaurant East Garfield Park,Fast Food,Fast Food Restaurants,Carry Out,Family-Friendly Dining,Restaurants,Mastercard Accepted,Visa Accepted,Hamburgers & Hot Dogs,Restaurant,American Restaurants,Fast Food Restaurant,Cheap Eats,Hamburgers",Chicago,"Fast Food,Hamburgers,Fast Food Restaurants",41.8805,-87.7234,White Castle,"West Side, West Garfield Park,West Side, East Garfield Park",60624
7550 N Harlem Avenue,"Fast Food Restaurants,American Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"Fast Food Restaurants,American Restaurants,Hamburgers and Hot Dogs,Restaurants,Burgers,American,Hot Dogs,Fast Food",42.01795,-87.80672,White Castle,"Northwest Side,Edison Park",60631
4750 W 63rd Street,"Fast Food Restaurants,American Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"Fast Food Restaurants,American Restaurants,Hamburgers and Hot Dogs,Restaurants,Burgers,American,Hot Dogs,Fast Food",41.77856,-87.74185,White Castle,"Southwest Side,West Lawn",60629
6901 S Western Avenue,"Fast Food Restaurants,American Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"Fast Food Restaurants,American Restaurants,Hamburgers and Hot Dogs,Restaurants,Burgers,American,Hot Dogs,Fast Food",41.76809,-87.68263,White Castle,"West Englewood,South Side",60636
7912 S Pulaski Road,"Fast Food Restaurants,American Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"Fast Food Restaurants,American Restaurants,Hamburgers and Hot Dogs,Restaurants,Burgers,American,Hot Dogs,Fast Food",41.74895,-87.7221,White Castle,Scottsdale,60652
3326 N Western Avenue,"Chicken Restaurants,Caterers,Fast Food Restaurants,Restaurants,Take Out Restaurants",Chicago,"Chicken Restaurants,Caterers,Fast Food Restaurants,Restaurants,Take Out Restaurants,Chicken,Take Out,Fast Food",41.94198,-87.6883,Wingstop Restaurant,"North Side,Roscoe Village",60618
1521 E 87th Street,"Chicken Restaurants,Fast Food Restaurants,Restaurants,Take Out Restaurants",Chicago,"Chicken Restaurants,Fast Food Restaurants,Restaurants,Take Out Restaurants",41.73683,-87.5871,Wingstop Restaurant,"Calumet Heights,Far South Chicago",60619
9106 S Stony Island Ave,"Restaurant,Caterers,Wings Joint,Fast Food Restaurant,Barbecue Restaurants,Restaurants,Wings Joint and Fast Food Restaurant",Chicago,"Barbecue Restaurants,Caterers,Restaurants,Barbecue",41.729067,-87.58557,Wingz It Iz,"Far South Chicago,Calumet Heights,Far South Chicago, Calumet Heights",60617
5925 S Pulaski Road,"Mexican Restaurants,Fast Food Restaurants,Latin American Restaurants,Restaurant Delivery Service,Restaurants,Spanish Restaurants,Take Out Restaurants",Chicago,"Mexican Restaurants,Fast Food Restaurants,Latin American Restaurants,Restaurant Delivery Service,Restaurants,Spanish Restaurants,Take Out Restaurants,Spanish,Delivery,Mexican,Take Out,Fast Food,Latin American,European,Continental",41.78515,-87.72257,Zaca Tacos,"Southwest Side,West Lawn",60629
